product,country,year,production
A,AI,2000,1.6372715774122846
A,AI,2001,0.15870783986040046
A,AI,2002,-1.567977450807575
A,AI,2003,-0.44455509350133854
A,AI,2004,-0.07133701045735727
A,AI,2005,1.6118308960119823
A,AI,2006,-0.7043468225867656
A,AI,2007,-1.5355054163278994
A,AI,2008,0.8390715457273077
A,AI,2009,-0.3742411001291045
A,AI,2010,-0.7115892568951634
A,AI,2011,1.1280563436678663
A,AI,2012,1.4571824668730426
A,AI,2013,-1.5593410121937417
A,AI,2014,-0.11695838002114005
B,AI,2000,-0.026176611940051428
B,AI,2001,-0.6886357642826394
B,AI,2002,0.0624874105489952
B,AI,2003,-0.723396863031015
B,AI,2004,0.47248951964453134
B,AI,2005,-0.9417386106260295
B,AI,2006,-0.3478210750446564
B,AI,2007,0.5242528380610967
B,AI,2008,1.8323093743778909
B,AI,2009,0.10706490503775681
B,AI,2010,-0.329036635089033
B,AI,2011,-1.7831912123478162
B,AI,2012,0.6112579805886741
B,AI,2013,-0.7852609221892832
B,AI,2014,0.9784363513590328
B,EI,2000,1.404708477530438
B,EI,2001,-0.5961836879930892
B,EI,2002,-0.26568578637154766
B,EI,2003,0.6525780779508413
B,EI,2004,0.6256499904976253
B,EI,2005,-1.3453029907000869
B,EI,2006,-0.9718497486278521
B,EI,2007,-1.697158206855015
B,EI,2008,0.045561282626706424
B,EI,2009,1.1931504259618515
B,EI,2010,-1.6055750319322417
B,EI,2011,-0.7723549690075867
B,EI,2012,-2.502627383821918
B,EI,2013,-1.6275376866923248
B,EI,2014,0.0332964450957834
